Found 747 mutants to test
ok       Unmutated baseline in 15s build + 1s test
TIMEOUT  src/texel/optimizer.rs:381:42: replace >= with < in tune in 77s build + 20s test
TIMEOUT  src/texel/optimizer.rs:382:44: replace >= with < in tune in 133s build + 20s test
TIMEOUT  src/texel/optimizer.rs:418:5: replace maybe_checkpoint -> Result<(), TexelError> with Ok(()) in 77s build + 20s test
TIMEOUT  src/texel/optimizer.rs:419:33: replace > with == in maybe_checkpoint in 65s build + 20s test
TIMEOUT  src/texel/optimizer.rs:419:33: replace > with < in maybe_checkpoint in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:419:33: replace > with >= in maybe_checkpoint in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:442:5: replace load_split_records -> Result<(Vec<CachedRec>, Vec<CachedRec>), TexelError> with Ok((vec![], vec![])) in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:452:17: replace += with -= in load_split_records in 65s build + 20s test
TIMEOUT  src/texel/optimizer.rs:452:17: replace += with *= in load_split_records in 77s build + 20s test
TIMEOUT  src/texel/optimizer.rs:468:5: replace held_out_loss -> f64 with 0.0 in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:468:5: replace held_out_loss -> f64 with 1.0 in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:468:5: replace held_out_loss -> f64 with -1.0 in 80s build + 20s test
TIMEOUT  src/texel/optimizer.rs:480:15: replace += with -= in held_out_loss in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:480:15: replace += with *= in held_out_loss in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:480:27: replace * with + in held_out_loss in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:480:27: replace * with / in held_out_loss in 79s build + 20s test
TIMEOUT  src/texel/optimizer.rs:482:30: replace * with + in held_out_loss in 80s build + 20s test
TIMEOUT  src/texel/optimizer.rs:482:30: replace * with / in held_out_loss in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:486:23: replace - with + in held_out_loss in 79s build + 20s test
TIMEOUT  src/texel/optimizer.rs:486:23: replace - with / in held_out_loss in 82s build + 20s test
TIMEOUT  src/texel/optimizer.rs:487:13: replace += with -= in held_out_loss in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:487:13: replace += with *= in held_out_loss in 80s build + 20s test
TIMEOUT  src/texel/optimizer.rs:487:18: replace * with + in held_out_loss in 80s build + 20s test
TIMEOUT  src/texel/optimizer.rs:487:18: replace * with / in held_out_loss in 82s build + 20s test
TIMEOUT  src/texel/optimizer.rs:489:9: replace / with % in held_out_loss in 80s build + 20s test
TIMEOUT  src/texel/optimizer.rs:489:9: replace / with * in held_out_loss in 82s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:5: replace sigmoid -> f64 with 0.0 in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:5: replace sigmoid -> f64 with 1.0 in 82s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:5: replace sigmoid -> f64 with -1.0 in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:9: replace / with % in sigmoid in 83s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:9: replace / with * in sigmoid in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:16: replace + with - in sigmoid in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:16: replace + with * in sigmoid in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:19: delete - in sigmoid in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:495:28: delete - in sigmoid in 83s build + 20s test
TIMEOUT  src/texel/optimizer.rs:503:5: replace coord_descent_check -> Vec<f64> with vec![] in 81s build + 20s test
TIMEOUT  src/texel/optimizer.rs:503:5: replace coord_descent_check -> Vec<f64> with vec![0.0] in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:503:5: replace coord_descent_check -> Vec<f64> with vec![1.0] in 85s build + 20s test
TIMEOUT  src/texel/optimizer.rs:503:5: replace coord_descent_check -> Vec<f64> with vec![-1.0] in 86s build + 20s test
TIMEOUT  src/texel/optimizer.rs:507:30: replace + with - in coord_descent_check in 82s build + 20s test
TIMEOUT  src/texel/optimizer.rs:507:30: replace + with * in coord_descent_check in 82s build + 20s test
TIMEOUT  src/texel/optimizer.rs:510:30: replace - with + in coord_descent_check in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:510:30: replace - with / in coord_descent_check in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:512:31: replace && with || in coord_descent_check in 85s build + 20s test
TIMEOUT  src/texel/optimizer.rs:512:19: replace < with == in coord_descent_check in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:512:19: replace < with > in coord_descent_check in 84s build + 20s test
TIMEOUT  src/texel/optimizer.rs:512:19: replace < with <= in coord_descent_check in 86s build + 20s test
TIMEOUT  src/texel/optimizer.rs:512:37: replace <= with > in coord_descent_check in 86s build + 20s test
TIMEOUT  src/texel/optimizer.rs:513:24: replace + with - in coord_descent_check in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:513:24: replace + with * in coord_descent_check in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:514:26: replace < with == in coord_descent_check in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:514:26: replace < with > in coord_descent_check in 88s build + 20s test
TIMEOUT  src/texel/optimizer.rs:514:26: replace < with <= in coord_descent_check in 86s build + 20s test
TIMEOUT  src/texel/optimizer.rs:515:24: replace - with + in coord_descent_check in 86s build + 20s test
TIMEOUT  src/texel/optimizer.rs:515:24: replace - with / in coord_descent_check in 86s build + 20s test
TIMEOUT  src/texel/optimizer.rs:525:5: replace mse -> f64 with 0.0 in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:525:5: replace mse -> f64 with 1.0 in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:525:5: replace mse -> f64 with -1.0 in 88s build + 20s test
TIMEOUT  src/texel/optimizer.rs:533:19: replace += with -= in mse in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:533:19: replace += with *= in mse in 90s build + 20s test
TIMEOUT  src/texel/optimizer.rs:533:31: replace * with + in mse in 89s build + 20s test
TIMEOUT  src/texel/optimizer.rs:533:31: replace * with / in mse in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:535:34: replace * with + in mse in 89s build + 20s test
TIMEOUT  src/texel/optimizer.rs:535:34: replace * with / in mse in 88s build + 20s test
TIMEOUT  src/texel/optimizer.rs:539:27: replace - with + in mse in 87s build + 20s test
TIMEOUT  src/texel/optimizer.rs:539:27: replace - with / in mse in 90s build + 20s test
TIMEOUT  src/texel/optimizer.rs:540:15: replace * with + in mse in 88s build + 20s test
TIMEOUT  src/texel/optimizer.rs:540:15: replace * with / in mse in 91s build + 20s test
TIMEOUT  src/texel/optimizer.rs:543:9: replace / with % in mse in 88s build + 20s test
TIMEOUT  src/texel/optimizer.rs:543:9: replace / with * in mse in 89s build + 20s test
747 mutants tested in 9h: 100 missed, 336 caught, 52 unviable, 259 timeouts
