Found 747 mutants to test
ok       Unmutated baseline in 15s build + 1s test
MISSED   src/texel/mixture.rs:400:39: replace < with == in simplex_search_impl in 34s build + 9s test
MISSED   src/texel/mixture.rs:400:39: replace < with > in simplex_search_impl in 39s build + 7s test
MISSED   src/texel/mixture.rs:400:39: replace < with <= in simplex_search_impl in 36s build + 8s test
MISSED   src/texel/mixture.rs:408:25: replace < with == in simplex_search_impl in 38s build + 9s test
MISSED   src/texel/mixture.rs:408:25: replace < with > in simplex_search_impl in 41s build + 9s test
MISSED   src/texel/mixture.rs:408:25: replace < with <= in simplex_search_impl in 39s build + 14s test
MISSED   src/texel/mixture.rs:419:24: replace += with -= in simplex_search_impl in 39s build + 9s test
MISSED   src/texel/mixture.rs:419:24: replace += with *= in simplex_search_impl in 41s build + 9s test
MISSED   src/texel/mixture.rs:420:22: replace < with == in simplex_search_impl in 36s build + 12s test
MISSED   src/texel/mixture.rs:420:22: replace < with > in simplex_search_impl in 42s build + 9s test
MISSED   src/texel/mixture.rs:420:22: replace < with <= in simplex_search_impl in 40s build + 11s test
MISSED   src/texel/mixture.rs:437:58: replace < with == in simplex_search_impl in 43s build + 15s test
MISSED   src/texel/mixture.rs:437:58: replace < with > in simplex_search_impl in 43s build + 9s test
MISSED   src/texel/mixture.rs:437:58: replace < with <= in simplex_search_impl in 42s build + 9s test
MISSED   src/texel/mixture.rs:461:24: replace += with -= in simplex_search_impl in 43s build + 15s test
MISSED   src/texel/mixture.rs:461:24: replace += with *= in simplex_search_impl in 47s build + 10s test
MISSED   src/texel/mixture.rs:468:22: replace < with == in simplex_search_impl in 43s build + 9s test
MISSED   src/texel/mixture.rs:468:22: replace < with > in simplex_search_impl in 44s build + 16s test
MISSED   src/texel/mixture.rs:468:22: replace < with <= in simplex_search_impl in 45s build + 16s test
MISSED   src/texel/mixture.rs:479:26: replace == with != in simplex_search_impl in 44s build + 14s test
MISSED   src/texel/mixture.rs:491:32: replace += with -= in simplex_search_impl in 47s build + 17s test
MISSED   src/texel/mixture.rs:491:32: replace += with *= in simplex_search_impl in 45s build + 14s test
MISSED   src/texel/mixture.rs:505:30: replace > with == in simplex_search_impl in 46s build + 16s test
MISSED   src/texel/mixture.rs:505:30: replace > with < in simplex_search_impl in 47s build + 17s test
MISSED   src/texel/mixture.rs:505:30: replace > with >= in simplex_search_impl in 44s build + 18s test
MISSED   src/texel/mixture.rs:523:64: replace < with == in simplex_search_impl in 45s build + 17s test
MISSED   src/texel/mixture.rs:523:64: replace < with > in simplex_search_impl in 46s build + 18s test
MISSED   src/texel/mixture.rs:523:64: replace < with <= in simplex_search_impl in 46s build + 14s test
TIMEOUT  src/texel/mixture.rs:526:35: replace - with + in simplex_search_impl in 46s build + 20s test
MISSED   src/texel/mixture.rs:526:35: replace - with / in simplex_search_impl in 42s build + 15s test
